Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,40771.19921875,41279.1015625,40740.19921875,41016.0,37299.83984375,14516
2019-01-03,41196.8984375,41288.19921875,40649.69921875,41238.8984375,37502.546875,61062
2019-01-04,40875.3984375,41326.6015625,40767.6015625,41154.0,37425.33984375,116419
2019-01-07,41288.19921875,41333.8984375,40835.19921875,41095.5,37372.13671875,100427
2019-01-08,40726.5,41270.0,39735.3984375,41043.3984375,37324.7578125,110712
2019-01-09,40922.8984375,41288.19921875,40001.19921875,40991.3984375,37277.46875,60112
2019-01-10,40832.3984375,42019.0,40832.3984375,41525.69921875,37763.36328125,52809
2019-01-11,41110.1015625,42019.0,40741.1015625,41597.8984375,37829.01953125,50062
2019-01-14,41882.0,41882.0,41882.0,41882.0,38087.37890625,4211
2019-01-15,41870.1015625,42293.0,41429.80078125,41870.1015625,38076.5625,16146
2019-01-16,42128.6015625,42128.6015625,41275.3984375,42128.6015625,38311.640625,11516
2019-01-17,42174.30078125,42567.1015625,42019.0,42174.30078125,38353.1953125,10185
2019-01-18,42567.1015625,42567.1015625,42014.3984375,42567.1015625,38710.41015625,7645
2019-01-21,42514.1015625,42567.1015625,41670.1015625,42514.1015625,38662.21484375,5629
2019-01-22,41836.30078125,42089.30078125,40193.8984375,41836.30078125,38045.8203125,23454
2019-01-23,41836.30078125,42019.0,41059.8984375,41836.30078125,38045.8203125,9731
2019-01-24,42695.0,43091.3984375,41417.8984375,42695.0,38826.71875,12157
2019-01-25,42567.1015625,42695.0,42023.6015625,42567.1015625,38710.41015625,12994
2019-01-28,42475.69921875,42567.1015625,41152.1015625,42475.69921875,38627.2890625,35320
2019-01-29,42471.19921875,42475.69921875,41710.19921875,42471.19921875,38623.19921875,10863
2019-01-30,42019.0,42567.1015625,41656.3984375,42019.0,38211.96875,10232
2019-01-31,42695.8984375,42703.19921875,42019.0,42695.8984375,38827.5390625,35478
2019-02-01,43069.5,43206.5,42603.6015625,43069.5,39167.2890625,13768
2019-02-04,43068.6015625,43070.3984375,42593.6015625,43068.6015625,39166.4765625,2058
2019-02-05,43113.30078125,43124.30078125,42484.8984375,43113.30078125,39207.12109375,1821
2019-02-06,42620.1015625,42978.1015625,42620.1015625,42620.1015625,38758.609375,20345
2019-02-07,42082.8984375,42932.5,42082.8984375,42400.80078125,38559.17578125,493
2019-02-08,42366.1015625,42382.6015625,41763.19921875,42366.1015625,38527.62109375,5931
2019-02-11,42338.69921875,42366.1015625,41836.30078125,42338.69921875,38502.69921875,2443
2019-02-12,42017.19921875,42475.69921875,41763.19921875,42017.19921875,38210.328125,9080
2019-02-13,41762.30078125,42110.30078125,41762.30078125,41762.30078125,37978.5234375,11101
2019-02-14,41476.3984375,41926.69921875,41246.19921875,41476.3984375,37718.52734375,9234
2019-02-15,41196.0,41836.30078125,40649.69921875,41196.0,37463.53515625,15395
2019-02-18,41288.19921875,41562.30078125,40566.6015625,40831.5,37132.05859375,15597
2019-02-19,41105.5,41187.80078125,40650.6015625,41105.5,37381.234375,9631
2019-02-20,41288.19921875,42000.69921875,40969.3984375,41288.19921875,37547.37890625,8454
2019-02-21,41187.80078125,41370.3984375,40831.5,41187.80078125,37456.078125,40945
2019-02-22,41827.19921875,41827.19921875,41212.3984375,41827.19921875,38037.546875,6865
2019-02-25,42065.6015625,42923.30078125,41563.19921875,42065.6015625,38254.34765625,3830
2019-02-26,42062.80078125,42475.69921875,41562.30078125,42062.80078125,38251.80078125,6241
2019-02-27,41836.30078125,42018.1015625,41289.1015625,41836.30078125,38045.8203125,9632
2019-02-28,40960.30078125,41927.69921875,40946.6015625,40960.30078125,37249.19140625,53087
2019-03-01,40978.6015625,41417.0,40922.8984375,40978.6015625,37265.83203125,2067
2019-03-04,41016.0,41369.5,40978.6015625,41016.0,37299.83984375,3633
2019-03-05,41105.5,41368.6015625,40773.0,41105.5,37381.234375,10309
2019-03-06,41562.30078125,41647.19921875,41105.5,41562.30078125,37796.64453125,17654
2019-03-07,41188.69921875,41562.30078125,41105.5,41188.69921875,37456.89453125,4303
2019-03-08,40927.3984375,41288.19921875,40922.8984375,40927.3984375,37219.26953125,2674
2019-03-11,40927.3984375,41240.69921875,40837.0,40837.0,37137.0625,31377
2019-03-12,40923.80078125,41238.8984375,40837.0,40923.80078125,37215.99609375,6814
2019-03-13,41123.80078125,41377.80078125,40923.80078125,41123.80078125,37397.875,4302
2019-03-14,41078.1015625,41123.80078125,40841.6015625,41078.1015625,37356.3203125,5022
2019-03-15,41104.6015625,42566.19921875,40877.19921875,41104.6015625,37380.41796875,3941
2019-03-18,41104.6015625,42019.0,40942.0,41104.6015625,37380.41796875,10321
2019-03-19,41187.80078125,41520.30078125,40693.6015625,41187.80078125,37456.078125,17750
2019-03-20,40648.80078125,41037.8984375,40648.80078125,40648.80078125,36965.91015625,22460
2019-03-21,40968.5,41005.1015625,40663.3984375,40968.5,37256.64453125,7451
2019-03-22,40740.19921875,40968.5,40193.0,40740.19921875,37049.02734375,10714
2019-03-25,41090.8984375,41090.8984375,40012.1015625,41090.8984375,37367.95703125,28670
2019-03-26,40441.5,41014.19921875,40394.0,40441.5,36777.39453125,10841
2019-03-27,40648.80078125,40921.0,40199.3984375,40648.80078125,36965.91015625,5692
2019-03-28,40738.30078125,41136.6015625,40648.80078125,40738.30078125,37047.30078125,3898
2019-03-29,39739.0,40831.5,39739.0,39739.0,36967.4453125,24748
2019-04-01,40283.3984375,40530.1015625,39739.0,40283.3984375,37473.875,2213
2019-04-02,40285.30078125,40539.19921875,40193.8984375,40285.30078125,37475.64453125,9060
2019-04-03,40922.8984375,41224.30078125,40285.30078125,40922.8984375,38068.77734375,7375
2019-04-04,41836.30078125,41836.30078125,40922.8984375,41836.30078125,38918.47265625,14852
2019-04-05,41563.19921875,41835.3984375,40785.80078125,41563.19921875,38664.421875,3217
2019-04-08,41836.30078125,41836.30078125,41288.19921875,41836.30078125,38918.47265625,10591
2019-04-09,41699.30078125,41836.30078125,41288.19921875,41699.30078125,38791.02734375,3779
2019-04-10,41836.30078125,41852.80078125,41426.19921875,41836.30078125,38918.47265625,4961
2019-04-11,41789.69921875,42017.19921875,41106.5,41777.80078125,38864.0546875,596
