date,var,AESGENER.SN,AGUAS-A.SN,ANDINA-B.SN,ANTARCHILE.SN,BESALCO.SN,BCI.SN,BSANTANDER.SN,CCU.SN,CENCOSUD.SN,CHILE.SN,CMPC.SN,COLBUN.SN,CONCHATORO.SN,COPEC.SN,EMBONOR-B.SN,ENELAM.SN,ENELCHILE.SN,ENTEL.SN,FALABELLA.SN,IAM.SN,ILC.SN,ITAUCORP.SN,LTM.SN,MASISA.SN,PARAUCO.SN,RIPLEY.SN,SALFACORP.SN,SECURITY.SN,SMSAAM.SN,SONDA.SN,SQM-B.SN
2019-01-02,"0,39%",191.7799988,383.0299988,2580.600098,9199,610.0999756,41016,51.95999908,8733.299805,1260.699951,99.80999756,2191.300049,139.3200073,1352.599976,8400.900391,1675,122.9840012,66.54000092,5580.799805,5056.700195,1011,11250,6.43200016,7180,36.83000183,1579.900024,566.1500244,977.0999756,290.9599915,59.88000107,1109,27015
2019-01-03,"0,07%",192.2100067,385.6099854,2542.600098,9119.200195,605,41238.89844,51.68999863,8817.200195,1274.099976,100.0500031,2160.399902,139.5,1364.400024,8345.900391,1675,123.6930008,66.76999664,5569.299805,5087.899902,1017.299988,11202,6.453000069,7281.600098,36.83000183,1638.800049,573.7800293,1007,287.980011,59.5,1111.099976,25901
2019-01-04,"1,17%",195,394.4700012,2567.199951,9175,605,41154,51.88000107,8815.799805,1292.599976,100.4300003,2195.800049,140.0099945,1369,8388.299805,1687.300049,127.560997,67.19000244,5551.600098,5170.200195,1027.800049,11300,6.434000015,7449.899902,36.83000183,1644.199951,576.8900146,1023,290.6700134,60.45000076,1136,26690
2019-01-07,"0,02%",198.0500031,392.0299988,2552.899902,9168.5,600,41095.5,51.25,8853.599609,1288.800049,100.9100037,2136,140.2599945,1376,8411.599609,1685,126.7639999,67.88999939,5597.200195,5170.100098,1039.400024,11499,6.403999805,7591,37,1629,573.3699951,1029.5,288.2099915,60.45000076,1121.599976,26943
2019-01-08,"0,66%",196.2700043,392.3299866,2555.800049,9100,600,41043.39844,51.47999954,8908.900391,1330.400024,100.6299973,2113.300049,140.8999939,1368.199951,8406.700195,1685,127.7080002,67.48999786,5689,5177.200195,1039.800049,11750,6.477000237,7784.5,38,1648,579.789978,1041.900024,287.5100098,59.5,1134.199951,27969
2019-01-09,"0,77%",196.6799927,391.5299988,2604.399902,9174,604.9799805,40991.39844,51.63000107,8886,1381.199951,100.5599976,2151.100098,141.3200073,1392,8535.200195,1685,127.9550018,68.15000153,5758.600098,5223,1039,11780,6.467000008,7950.299805,38.00999832,1646.300049,585.6400146,1031.900024,287.9899902,61.97999954,1142,28136
2019-01-10,"0,64%",197.3800049,393.4899902,2589.800049,9376.200195,602.710022,41525.69922,51.68999863,8902.700195,1368.300049,100.3899994,2202.899902,141.3699951,1394.900024,8785.900391,1750,128.7420044,69.05000305,5842,5209.600098,1038.300049,11987,6.517000198,7971.600098,38,1696.699951,579.7399902,1040.300049,287.2000122,61.79999924,1139.400024,28174
2019-01-11,"1,04%",199.8300018,392.3999939,2580.800049,9849,633.1400146,41597.89844,52.33000183,8831.900391,1384,101.2099991,2270.600098,145.3200073,1393.300049,8998.700195,1700,131.0939941,69.97000122,5923.200195,5200.799805,1042.599976,11971,6.548999786,7997.700195,38.5,1721.099976,580,1055,288.5499878,61.79999924,1132.900024,28592
2019-01-14,"0,08%",203,390,2578,9845,625.0100098,41882,52.29000092,9030,1370,101,2255,145.3000031,1400,9000,1700,131.8919983,69.69000244,6074,5210,1038.800049,12060,6.519999981,7945,38.75,1722,585,1050,289.0700073,62,1134.900024,28751
2019-01-15,"0,31%",203.1999969,391.3800049,2562.899902,9845,625.3200073,41870.10156,52.47999954,8974,1390,101.3799973,2294.899902,145.3999939,1399.5,9020,1700,133.3679962,70.58999634,6180.100098,5183,1038,12065,6.550000191,7880,39,1721,585.2800293,1040.300049,291.0899963,62.13999939,1128.300049,28630
